Rotary encoder SYNC DATA
Neuropixel setup
Samping rate: 50 sps
20-21-09_01-13-2023
timestamp_sys,timestamp
2023-01-13_20:22:16.821520,67648
2023-01-13_20:22:16.931514,67758
2023-01-13_20:22:17.041605,67868
2023-01-13_20:22:17.151311,67978
2023-01-13_20:22:17.261826,68088
2023-01-13_20:22:17.371518,68198
2023-01-13_20:22:17.481273,68308
2023-01-13_20:22:17.591971,68418
2023-01-13_20:22:17.701665,68528
2023-01-13_20:22:17.812178,68638
2023-01-13_20:22:17.922364,68748
2023-01-13_20:22:18.032144,68858
2023-01-13_20:22:18.141636,68968
2023-01-13_20:22:18.252150,69078
2023-01-13_20:22:18.361936,69189
2023-01-13_20:22:18.472708,69299
2023-01-13_20:22:18.582746,69409
2023-01-13_20:22:18.692057,69519
2023-01-13_20:22:18.802718,69629
2023-01-13_20:22:18.912162,69739
2023-01-13_20:22:19.022973,69849
2023-01-13_20:22:19.133227,69959
2023-01-13_20:22:19.243000,70069
2023-01-13_20:22:19.352520,70179
2023-01-13_20:22:19.463125,70289
2023-01-13_20:22:19.572642,70399
2023-01-13_20:22:19.683218,70509
2023-01-13_20:22:19.793731,70619
2023-01-13_20:22:19.903253,70730
2023-01-13_20:22:20.013767,70840
2023-01-13_20:22:20.123296,70950
2023-01-13_20:22:20.234254,71060
2023-01-13_20:22:20.343654,71170
2023-01-13_20:22:20.454192,71280
2023-01-13_20:22:20.563530,71390
2023-01-13_20:22:20.674596,71500
2023-01-13_20:22:20.784115,71610
2023-01-13_20:22:20.894628,71720
2023-01-13_20:22:21.003467,71830
2023-01-13_20:22:21.115078,71940
2023-01-13_20:22:21.224507,72050
2023-01-13_20:22:21.334797,72160
2023-01-13_20:22:21.444816,72271
2023-01-13_20:22:21.555596,72381
2023-01-13_20:22:21.665011,72491
2023-01-13_20:22:21.774863,72601
2023-01-13_20:22:21.884814,72711
2023-01-13_20:22:21.995790,72821
2023-01-13_20:22:22.105003,72931
2023-01-13_20:22:22.216270,73041
2023-01-13_20:22:22.324772,73151
2023-01-13_20:22:22.435839,73261
2023-01-13_20:22:22.544556,73371
2023-01-13_20:22:22.656011,73481
2023-01-13_20:22:22.765065,73591
2023-01-13_20:22:22.875400,73701
2023-01-13_20:22:22.985680,73811
2023-01-13_20:22:23.096422,73922
2023-01-13_20:22:23.205546,74032
2023-01-13_20:22:23.315493,74142
2023-01-13_20:22:23.425751,74252
2023-01-13_20:22:23.535841,74362
2023-01-13_20:22:23.646096,74472
2023-01-13_20:22:23.756982,74582
2023-01-13_20:22:23.865374,74692
2023-01-13_20:22:23.976185,74802
2023-01-13_20:22:24.085844,74912
2023-01-13_20:22:24.196671,75022
2023-01-13_20:22:24.306209,75132
2023-01-13_20:22:24.416568,75242
2023-01-13_20:22:24.526025,75352
2023-01-13_20:22:24.636443,75462
2023-01-13_20:22:24.746556,75573
2023-01-13_20:22:24.857595,75683
2023-01-13_20:22:24.966629,75793
2023-01-13_20:22:25.077548,75903
2023-01-13_20:22:25.186628,76013
2023-01-13_20:22:25.298123,76123
2023-01-13_20:22:25.406901,76233
2023-01-13_20:22:25.517837,76343
2023-01-13_20:22:25.627040,76453
2023-01-13_20:22:25.737671,76563
2023-01-13_20:22:25.846866,76673
2023-01-13_20:22:25.957708,76783
2023-01-13_20:22:26.067404,76893
2023-01-13_20:22:26.178218,77003
2023-01-13_20:22:26.287814,77114
2023-01-13_20:22:26.397777,77224
2023-01-13_20:22:26.507688,77334
2023-01-13_20:22:26.618658,77444
2023-01-13_20:22:26.727783,77554
2023-01-13_20:22:26.838888,77664
2023-01-13_20:22:26.948334,77774
2023-01-13_20:22:27.058847,77884
2023-01-13_20:22:27.168372,77994
2023-01-13_20:22:27.284988,78104
2023-01-13_20:22:27.387899,78214
2023-01-13_20:22:27.499002,78324
2023-01-13_20:22:27.608629,78434
2023-01-13_20:22:27.719553,78544
2023-01-13_20:22:27.828313,78655
2023-01-13_20:22:27.939832,78765
2023-01-13_20:22:28.048661,78875
2023-01-13_20:22:28.158535,78985
2023-01-13_20:22:28.268888,79095
2023-01-13_20:22:28.379402,79205
2023-01-13_20:22:28.489124,79315
2023-01-13_20:22:28.599172,79425
2023-01-13_20:22:28.709000,79535
2023-01-13_20:22:28.818658,79645
2023-01-13_20:22:28.929100,79755
2023-01-13_20:22:29.039613,79865
2023-01-13_20:22:29.149556,79975
2023-01-13_20:22:29.259384,80085
2023-01-13_20:22:29.369775,80195
2023-01-13_20:22:29.479574,80306
2023-01-13_20:22:29.589822,80416
2023-01-13_20:22:29.699314,80526
2023-01-13_20:22:29.809673,80636
2023-01-13_20:22:29.919554,80746
2023-01-13_20:22:30.029530,80856
2023-01-13_20:22:30.139846,80966
2023-01-13_20:22:30.249758,81076
2023-01-13_20:22:30.359751,81186
2023-01-13_20:22:30.469982,81296
2023-01-13_20:22:30.579941,81406
2023-01-13_20:22:30.689971,81516
2023-01-13_20:22:30.800797,81626
2023-01-13_20:22:30.910678,81736
2023-01-13_20:22:31.020784,81847
2023-01-13_20:22:31.130905,81957
2023-01-13_20:22:31.241091,82067
2023-01-13_20:22:31.351156,82177
2023-01-13_20:22:31.460817,82287
2023-01-13_20:22:31.571198,82397
2023-01-13_20:22:31.681127,82507
2023-01-13_20:22:31.791200,82617
2023-01-13_20:22:31.901134,82727
2023-01-13_20:22:32.011063,82837
2023-01-13_20:22:32.121624,82947
2023-01-13_20:22:32.231538,83057
2023-01-13_20:22:32.341064,83167
2023-01-13_20:22:32.451780,83277
2023-01-13_20:22:32.561972,83388
2023-01-13_20:22:32.671951,83498
2023-01-13_20:22:32.781968,83608
2023-01-13_20:22:32.891454,83718
2023-01-13_20:22:33.001538,83828
2023-01-13_20:22:33.111621,83938
2023-01-13_20:22:33.222034,84048
2023-01-13_20:22:33.332110,84158
2023-01-13_20:22:33.442721,84268
2023-01-13_20:22:33.551982,84378
2023-01-13_20:22:33.662565,84488
2023-01-13_20:22:33.772159,84598
2023-01-13_20:22:33.882466,84708
2023-01-13_20:22:33.992781,84818
2023-01-13_20:22:34.102836,84929
2023-01-13_20:22:34.212913,85039
2023-01-13_20:22:34.322915,85149
2023-01-13_20:22:34.433205,85259
2023-01-13_20:22:34.542635,85369
2023-01-13_20:22:34.652626,85479
2023-01-13_20:22:34.762936,85589
2023-01-13_20:22:34.873514,85699
2023-01-13_20:22:34.982938,85809
2023-01-13_20:22:35.093680,85919
2023-01-13_20:22:35.203069,86029
2023-01-13_20:22:35.313740,86139
2023-01-13_20:22:35.422992,86249
2023-01-13_20:22:35.533535,86359
2023-01-13_20:22:35.643708,86470
2023-01-13_20:22:35.754358,86580
2023-01-13_20:22:35.863743,86690
2023-01-13_20:22:35.974256,86800
2023-01-13_20:22:36.083359,86910
2023-01-13_20:22:36.193973,87020
2023-01-13_20:22:36.304390,87130
2023-01-13_20:22:36.414518,87240
