Rotary encoder POSITION DATA
Neuropixel setup
Samping rate: 50 sps
20-23-22_01-13-2023
timestamp_sys,timestamp,position,interrupt,position_at_interrupt
2023-01-13_20:23:26.166931, 3620, 240599, 0, 209376
2023-01-13_20:23:26.187612, 3640, 240610, 0, 209376
2023-01-13_20:23:26.206528, 3660, 240613, 0, 209376
2023-01-13_20:23:26.227436, 3680, 240614, 0, 209376
2023-01-13_20:23:26.247130, 3700, 240615, 0, 209376
2023-01-13_20:23:26.267045, 3720, 240619, 0, 209376
2023-01-13_20:23:26.286498, 3740, 240631, 0, 209376
2023-01-13_20:23:26.307407, 3760, 240654, 0, 209376
2023-01-13_20:23:26.327008, 3780, 240663, 0, 209376
2023-01-13_20:23:26.346922, 3800, 240662, 0, 209376
2023-01-13_20:23:26.366437, 3820, 240649, 0, 209376
2023-01-13_20:23:26.386349, 3840, 240629, 0, 209376
2023-01-13_20:23:26.406967, 3860, 240625, 0, 209376
2023-01-13_20:23:26.426880, 3880, 240624, 0, 209376
2023-01-13_20:23:26.447245, 3900, 240622, 0, 209376
2023-01-13_20:23:26.467158, 3920, 240623, 0, 209376
2023-01-13_20:23:26.487405, 3940, 240625, 0, 209376
2023-01-13_20:23:26.507378, 3960, 240625, 0, 209376
2023-01-13_20:23:26.526789, 3980, 240625, 0, 209376
2023-01-13_20:23:26.547234, 4000, 240625, 0, 209376
2023-01-13_20:23:26.567274, 4020, 240625, 0, 209376
2023-01-13_20:23:26.587331, 4040, 240625, 0, 209376
2023-01-13_20:23:26.606967, 4060, 240617, 0, 209376
2023-01-13_20:23:26.626892, 4080, 240604, 0, 209376
2023-01-13_20:23:26.646792, 4100, 240602, 0, 209376
2023-01-13_20:23:26.666840, 4120, 240607, 0, 209376
2023-01-13_20:23:26.686756, 4140, 240633, 0, 209376
2023-01-13_20:23:26.707221, 4160, 240814, 0, 209376
2023-01-13_20:23:26.727134, 4180, 241146, 0, 209376
2023-01-13_20:23:26.747796, 4200, 241734, 0, 209376
2023-01-13_20:23:26.767709, 4220, 242404, 0, 209376
2023-01-13_20:23:26.786685, 4240, 243132, 0, 209376
2023-01-13_20:23:26.807698, 4260, 243776, 0, 209376
2023-01-13_20:23:26.827326, 4280, 244281, 0, 209376
2023-01-13_20:23:26.847239, 4300, 244699, 0, 209376
2023-01-13_20:23:26.867152, 4320, 245076, 0, 209376
2023-01-13_20:23:26.887063, 4340, 245408, 0, 209376
